Month,City,Merchant,Purchase Total,No of sales
Jan 2017,26,Ivan Spruill inc,128085.96,5
Jan 2017,26,Janice Stevens 2 inc,127126.36,6
Jan 2017,28,Jo Miland inc,315916.76,14
Jan 2017,28,Maureen Colony inc,292387.06,14
Jan 2017,28,Charles Simonson inc,282011.67,17
Jan 2017,28,Jennifer Chadwell inc,279244.97,12
Jan 2017,28,Henry Anderson 4 inc,268572.73,13
Jan 2017,29,Kirsten Huse inc,621368.91,35
Jan 2017,29,Eric Nettles inc,230664.14,13
Jan 2017,29,Tarsha Chance inc,211877.39,12
Jan 2017,29,Charles Harkless inc,198828.64,10
Jan 2017,29,Robert Guerrero 4 inc,192016.73,10
Jan 2017,30,Clarence Streater inc,1112995.96,54
Jan 2017,30,Donald Ireland inc,1033431.42,56
Jan 2017,30,Dennis Johnson 6 inc,901059.12,41
Jan 2017,30,Doris King 3 inc,898346.98,46
Jan 2017,30,Debra Burdell inc,626977.27,30
Jan 2017,32,Harriet Reeder inc,291346.49,14
Jan 2017,32,Felix Scipio inc,129521.67,5
Jan 2017,32,Anthony Bjorkman inc,126522.21,6
Jan 2017,32,Adrian Rollin inc,109299.44,5
Jan 2017,32,Karen Smith 17 inc,102494.05,6
Jan 2017,33,Nicole Crowder inc,486841.7,25
Jan 2017,33,Douglas Magic inc,462237.23,20
Jan 2017,33,Ronald Johnson 17 inc,455781.28,20
Jan 2017,33,Kathy Manders inc,377874.76,17
Jan 2017,33,Richard Smith 43 inc,377639.8,17
Jan 2017,34,Nina Conn inc,527716.05,25
Jan 2017,34,Mitchell Kalhorn inc,511413.76,24
Jan 2017,34,Kris Endicott inc,422840.29,23
Jan 2017,34,Alysia Ceovantes inc,416012.29,21
Jan 2017,34,Danny Martinez inc,342198.35,17
Jan 2017,35,Lewis Wiley inc,244315.14,12
Jan 2017,35,Bobby Ames inc,173880.82,8
Jan 2017,35,Juanita Whitton inc,126427.68,5
Jan 2017,35,Nellie Kelly inc,112019.92,4
Jan 2017,35,Joann Ferguson inc,94548.92,4
Jan 2017,36,Esther Diaz inc,528164.61,27
Jan 2017,36,Teresa Volk inc,375263.49,18
Jan 2017,36,Henrietta Cook inc,351619.93,18
Jan 2017,36,Austin Lopez inc,219803.2,10
Jan 2017,36,Ronald Jones 10 inc,205009.77,11
Jan 2017,38,Patricia Odonnell inc,174415.15,9
Jan 2017,38,Miranda Tiller inc,125336.08,7
Jan 2017,38,Kris Phelps inc,112846.3,6
Jan 2017,38,Annie Delrie 2 inc,102262.53,5
Jan 2017,38,Roberta Peery inc,98860.87,4
Jan 2017,39,Jane Terry 3 inc,382635.85,16
Jan 2017,39,John Wolfram inc,351977.2,15
Jan 2017,39,Jonathan Dalley inc,183327.11,11
Jan 2017,39,James Angles inc,163937.05,9
Jan 2017,39,Jose Hightower inc,147431.1,7
Jan 2017,40,Karla Fernandez inc,199507.71,9
Jan 2017,40,Maureen Toevs inc,91408.21,3
Jan 2017,40,Joanne Manning inc,74069.09,3
Jan 2017,40,Michael Campbell 14 inc,72147.69,3
Jan 2017,40,Kay Tito inc,67583.15,3
Jan 2017,41,Joyce Mendez inc,429190.44,20
Jan 2017,41,Annie Brownell inc,276816.38,12
Jan 2017,41,Richard Bower inc,194076.51,9
Jan 2017,41,Andrew White 5 inc,190005.03,9
Jan 2017,41,Kia Moore inc,148044.21,6
Jan 2017,42,Carlene Phelps inc,570605.08,30
Jan 2017,42,Glenn Richmond inc,472027.12,27
Jan 2017,42,Louis Kahn inc,400194.36,19
Jan 2017,42,Cynthia Northover inc,381085.82,21
Jan 2017,42,Janet Bigelow inc,317140.03,14
Jan 2017,44,Bart Carney inc,290279.53,13
Jan 2017,44,Blaine Pride inc,147048.33,8
Jan 2017,44,Jon Moore inc,142585.6,8
Jan 2017,44,Nancy Dubow inc,131226.36,5
Jan 2017,44,Ashley Krupa inc,129128.12,6
Jan 2017,46,Asuncion Sandmeier inc,363295.73,21
Jan 2017,46,Suzanne Greene inc,356115.43,18
Jan 2017,46,Paul Ross 3 inc,192419.87,7
Jan 2017,46,Andrew Jones 9 inc,171715.74,9
Jan 2017,46,Rachel Carter 2 inc,170843.68,8
Jan 2017,47,Nicole Chamberlain inc,274423.88,15
Jan 2017,47,Jessica Munoz 2 inc,230238.6,10
Jan 2017,47,Jeff Carr 2 inc,195406.61,12
Jan 2017,47,Carlos Cook inc,175041.81,10
Jan 2017,47,Walter Jorgensen inc,164238.45,8
Jan 2017,48,Zelda Bozell inc,547118.79,29
Jan 2017,48,Stanley Cuevas inc,517710.6,26
Jan 2017,48,Maria Bugg inc,471056.29,24
Jan 2017,48,George Brown 11 inc,403846.19,19
Jan 2017,48,Bryan Vasquez inc,400981.32,18
Jan 2017,49,Carole Lotton inc,246863.26,12
Jan 2017,49,Bernice Battles inc,241045.61,12
Jan 2017,49,Joan Holmes 2 inc,209160.22,10
Jan 2017,49,April Johnson 3 inc,151798.76,7
Jan 2017,49,Paul Luffy inc,142510.08,10
Jan 2017,51,Micheal Styles inc,953320.55,43
Jan 2017,51,Joshua Kuehnert inc,851401.19,40
Jan 2017,51,Joanne Yannone inc,784904.89,39
Jan 2017,51,Irene Deschamps inc,779242.72,35
Jan 2017,51,Raul Gribble inc,718610.53,35
Jan 2017,52,Jean Biser inc,531217.68,26
Jan 2017,52,Kurt Sapp inc,379641.66,19
Jan 2017,52,Frederick Meade inc,290024.33,13
Jan 2017,52,Richard Bell 6 inc,280392.58,14
Jan 2017,52,Daniel Pearce inc,233150.43,10
Jan 2017,53,Cornelius Mattson inc,2904575.27,145
Jan 2017,53,Keith Conley 3 inc,2070501.21,103
Jan 2017,53,Cynthia Phelps inc,1304258.69,69
Jan 2017,53,Debra Wilczynski inc,1233410.96,73
Jan 2017,53,Robert Murdock inc,1091154.05,54
Jan 2017,54,Eloise Sorbo inc,121422.25,7
Jan 2017,54,Ricardo Simpson inc,102777.66,5
Jan 2017,54,Jessica Wilson inc,94478.98,4
Jan 2017,54,Donald Hart inc,71370.2,5
Jan 2017,54,Mary Lamb inc,51792.45,2
Jan 2017,56,Gerald Miller 3 inc,710402.76,38
Jan 2017,56,Courtney Mansfield inc,553598.04,26
Jan 2017,56,Mae Bourgeois inc,327780.0,17
Jan 2017,56,Mary Varos inc,322949.51,16
Jan 2017,56,Mary Visser inc,228734.59,10
Jan 2017,57,Jennifer Furr inc,3709457.75,176
Jan 2017,57,Eddie Plunkett inc,3478354.82,166
Jan 2017,57,Kenneth Huson inc,2325942.76,112
Jan 2017,57,Rhonda Wheeler inc,1640750.43,82
Jan 2017,57,Eloise Montgomery inc,1586648.07,74
Jan 2017,58,Karen Brendal inc,292384.62,13
Jan 2017,58,Trevor Najera inc,177869.87,9
Jan 2017,58,Ricky Forker inc,145009.4,6
Jan 2017,58,Gregory Pollard inc,99961.86,4
Jan 2017,58,Jeannette Russell inc,92281.23,4
Jan 2017,60,Lucas Ohara inc,1840116.23,97
Jan 2017,60,Catherine Quisenberry inc,668526.89,32
Jan 2017,60,Diane Perez 2 inc,623718.25,32
Jan 2017,60,Mary James 10 inc,588313.53,29
Jan 2017,60,Rafael Goss inc,560509.22,26
Jan 2017,61,Benjamin Elliott 3 inc,207036.61,10
Jan 2017,61,Audrey Thrash inc,186880.64,11
Jan 2017,61,Terry Mullins inc,125603.6,6
Jan 2017,61,Alvin Garrison inc,84281.58,5
Jan 2017,61,Susan Edwards inc,73104.67,3
Jan 2017,62,Richard Jones 18 inc,406297.62,20
Jan 2017,62,John Banks 5 inc,344177.66,19
Jan 2017,62,Rita Mcreynolds inc,329138.06,16
Jan 2017,62,Amy Locke inc,273103.33,15
Jan 2017,62,Richard William inc,266942.42,12
Jan 2017,63,Nestor Wright inc,564196.85,28
Jan 2017,63,Johnathan Oldham inc,219580.37,12
Jan 2017,63,Jon Creasey inc,219034.72,11
Jan 2017,63,Amanda Mccloud inc,197336.8,8
Jan 2017,63,Annie Yasutake inc,181731.28,9
Jan 2017,64,Richard Armstrong 2 inc,492213.89,23
Jan 2017,64,Matthew Cassem inc,470101.25,25
Jan 2017,64,Terri Gamez inc,414955.17,20
Jan 2017,64,Edgar Johnson 3 inc,294712.66,15
Jan 2017,64,James Norris 5 inc,274337.83,13
Jan 2017,65,Emma Aikens inc,174354.55,8
Jan 2017,65,Richard Boehm inc,146606.25,8
Jan 2017,65,Elton Lemons inc,129893.28,6
Jan 2017,65,Jennifer Ferry inc,94116.43,5
Jan 2017,65,Richard Fetter inc,79938.88,3
Jan 2017,66,Manuel Furlong inc,948871.21,48
Jan 2017,66,Dora Tuck inc,411171.19,18
Jan 2017,66,Derrick Phillips 2 inc,361066.77,17
Jan 2017,66,Marie Serbus inc,340635.21,13
Jan 2017,66,Joseph Butler 3 inc,230149.54,9
Jan 2017,68,Nola Bulow inc,802380.9,38
Jan 2017,68,Jarvis Carrington inc,350374.1,17
Jan 2017,68,Mary Franklin 4 inc,179532.22,10
Jan 2017,68,Lucille Burnside inc,146056.16,6
Jan 2017,68,Mitzi Shaffer inc,138957.52,7
Jan 2017,69,Nilda Richter inc,7.500234425E7,3729
Jan 2017,69,Henry Barnhill inc,3.378765158E7,1678
Jan 2017,69,June Gray inc,2.26716685E7,1099
Jan 2017,69,Weston Hendon inc,2.072018387E7,1033
Jan 2017,69,Pamela Glass 2 inc,1.567275316E7,775
Jan 2017,70,Ileen Niss inc,394534.94,17
Jan 2017,70,Margie Dillard inc,275810.94,14
Jan 2017,70,Stephen Wilburn inc,109816.53,5
Jan 2017,70,Yolanda Carlock inc,96977.63,5
Jan 2017,70,Tony Hilderbrandt inc,94414.68,4
Jan 2017,71,Harold Buster inc,180205.57,8
Jan 2017,71,Anna Blumberg inc,119824.66,5
Jan 2017,71,Timothy Mussell inc,69104.8,4
Jan 2017,71,John Marshall 5 inc,64047.41,2
Jan 2017,71,Thomas Hawes inc,61614.45,2
Jan 2017,73,Kathleen Lavole inc,748211.7,37
Jan 2017,73,Marilyn Conatser inc,250720.25,13
Jan 2017,73,Tracey Herz inc,234420.97,11
Jan 2017,73,Cynthia Burks inc,156341.2,7
Jan 2017,73,Christopher Kerns inc,145330.04,6
Jan 2017,74,Jeanette Mcmilliam inc,192512.86,11
Jan 2017,74,Donna Talley 2 inc,162209.56,7
Jan 2017,74,Joseph Wang inc,140406.0,8
Jan 2017,74,Jean Boles inc,132594.44,5
Jan 2017,74,Barbara Forney inc,131536.63,6
Jan 2017,75,William Gomez 5 inc,573299.83,26
Jan 2017,75,Angel Raper inc,316313.26,17
Jan 2017,75,Everett Hertzler inc,165748.15,10
Jan 2017,75,Kevin Williams 10 inc,159796.6,8
Jan 2017,75,James Funk 2 inc,139720.42,8
Jan 2017,76,Bridget Kisner inc,3338852.43,168
Jan 2017,76,Karen Ohare inc,1410655.66,71
Jan 2017,76,Valerie Fitch inc,1370608.42,64
Jan 2017,76,Carolyn Reeves 2 inc,1065356.64,51
Jan 2017,76,Brandon Lodi inc,1038098.86,56
Jan 2017,77,David Alto inc,252388.18,12
Jan 2017,77,William Schwerdtfeger inc,139094.14,10
Jan 2017,77,Gary Hyzer inc,82841.85,4
Jan 2017,77,Luis Rembert inc,69404.91,4
Jan 2017,77,Fred Tomas inc,66398.89,4
Jan 2017,78,James Nesbit 2 inc,623900.2,29
Jan 2017,78,Richard Hunsaker inc,540294.7,26
Jan 2017,78,Kenneth Mullen inc,508269.41,29
Jan 2017,78,Humberto Ruiz inc,339883.27,17
Jan 2017,78,John Offerdahl inc,334438.98,17
Jan 2017,79,Ronald Miller 5 inc,770883.49,38
Jan 2017,79,Sabrina Arnold 2 inc,563522.64,26
Jan 2017,79,Stephen Krummel inc,525632.39,22
Jan 2017,79,Gregory Edwards inc,417070.18,19
Jan 2017,79,Mollie Green inc,290549.91,12
Jan 2017,80,Clara Leung 2 inc,225449.21,9
Jan 2017,80,Eugene Pell inc,187825.11,11
Jan 2017,80,Grace Bond inc,129541.57,5
Jan 2017,80,Theodore Martine inc,117432.13,6
Jan 2017,80,Lillian Bailey inc,80850.18,4
Jan 2017,81,Maria Heller inc,167899.28,9
Jan 2017,81,John Landor inc,123650.71,4
Jan 2017,81,Anna Perez 2 inc,116433.26,5
Jan 2017,81,Marcy Gahagan inc,104987.25,4
Jan 2017,81,Randall Kaufman inc,75706.3,4
Jan 2017,82,Allen Emmons inc,204813.37,12
Jan 2017,82,Joan Buckley inc,181377.65,10
Jan 2017,82,Robert Broyles 2 inc,124355.54,6
Jan 2017,82,Marie Husband inc,109972.17,5
Jan 2017,82,Juan Hopkins inc,103528.0,5
Jan 2017,83,Chad Robinson 4 inc,313930.43,15
Jan 2017,83,Virgil Cooper inc,176381.87,7
Jan 2017,83,Esther Gottlieb inc,149608.76,7
Jan 2017,83,Barry Schuh inc,134803.22,7
Jan 2017,83,Antonio Burdett inc,133623.98,7
Jan 2017,84,Nichole Wilson inc,119300.08,7
Jan 2017,84,Michael Wingham inc,114197.92,6
Jan 2017,84,Daniel Helmick inc,81170.81,4
Jan 2017,84,Virginia Ross 2 inc,77434.46,5
Jan 2017,84,Mark Legault inc,66075.15,3
Jan 2017,85,Bernard Nisbett inc,214808.34,12
Jan 2017,85,Kathleen Hodgson inc,160344.82,8
Jan 2017,85,Joseph Allen 5 inc,131988.26,5
Jan 2017,85,Matthew Fain inc,123065.91,6
Jan 2017,85,Katherine Beaucage inc,88757.84,3
Jan 2017,86,Jared Kirk inc,337228.35,17
Jan 2017,86,David Butler 4 inc,132973.55,4
Jan 2017,86,Christine Blackwell inc,119242.27,6
Jan 2017,86,Diana Seide inc,106909.56,5
Jan 2017,86,Jeffrey Dess inc,106701.83,4
Jan 2017,87,Frank Garcia 2 inc,3210684.51,165
Jan 2017,87,Doug Moran inc,3179674.91,156
Jan 2017,87,Joe Montgomery inc,3011469.79,145
Jan 2017,87,Tessie Jaramillo inc,2629316.41,127
Jan 2017,87,Betty Hunter 2 inc,2195081.83,115
Jan 2017,88,Heather Ramberg inc,5559288.52,276
Jan 2017,88,Ronald Hussein inc,5088689.67,251
Jan 2017,88,Deidre Bright inc,4465247.31,223
Jan 2017,88,Samantha Jackson inc,4190455.86,218
Jan 2017,88,Kristen Hurtado inc,4168944.04,207
Jan 2017,89,George Hicks 2 inc,178764.12,8
Jan 2017,89,Carl Fonseca inc,83281.23,4
Jan 2017,89,James White 21 inc,79447.73,4
Jan 2017,89,Sheila Clayton inc,65927.28,4
Jan 2017,89,Alejandro Ng inc,65869.93,3
Jan 2017,90,Brian Moffatt inc,434482.34,22
Jan 2017,90,Raymond Gray 3 inc,349845.16,17
Jan 2017,90,Araceli Crotts inc,337924.72,16
Jan 2017,90,Brett Dejohn inc,329210.74,14
Jan 2017,90,Lee Vazquez inc,325872.99,14
Jan 2017,91,Robert Rainville inc,616941.65,31
Jan 2017,91,Juana Bouchard inc,535616.79,23
Jan 2017,91,John Flowers 3 inc,460954.27,21
Jan 2017,91,Christine Devine inc,392971.04,18
Jan 2017,91,Hyman Sison inc,176711.59,8
Jan 2017,92,Gail Smith 3 inc,107607.98,5
Jan 2017,92,William Wimberly inc,43162.72,2
Jan 2017,92,Alex Baker 2 inc,35264.73,1
Jan 2017,92,Charles Berg inc,31405.45,1
Jan 2017,92,Jennifer Pancoast inc,18003.67,1
Jan 2017,94,Dora Dermody inc,387986.59,18
Jan 2017,94,Zachary Solis inc,259032.66,12
Jan 2017,94,Ron Miles inc,228045.18,11
Jan 2017,94,Tony Cole 2 inc,178150.07,7
Jan 2017,94,Glenn Russell inc,174437.63,8
Jan 2017,96,Karen Holsten inc,735074.51,35
Jan 2017,96,Lane Cross inc,669378.49,35
Jan 2017,96,Wendy Meyer inc,494852.28,23
Jan 2017,96,Joel Hayward inc,452088.82,24
Jan 2017,96,Quinton Nelson inc,441842.0,21
Jan 2017,97,Richard Caskey inc,551154.92,27
Jan 2017,97,Beverly Lee inc,488665.4,22
Jan 2017,97,David Lightfoot 2 inc,454063.82,21
Jan 2017,97,James Mitchell 17 inc,266452.52,13
Jan 2017,97,Matthew Robles inc,168091.4,8
Jan 2017,98,Marc Standard inc,624916.88,31
Jan 2017,98,Mavis Willis inc,504555.26,25
Jan 2017,98,Bobby Rogers inc,454221.43,22
Jan 2017,98,Tara Miller inc,363843.21,18
Jan 2017,98,Dwight Alexander inc,287010.78,13
Jan 2017,100,Steven Epps inc,336378.32,18
Jan 2017,100,Edward Moore 8 inc,331684.37,15
Jan 2017,100,Leon Newell inc,286869.15,13
Jan 2017,100,Candace Morton inc,219225.69,13
Jan 2017,100,Shelly Pitts inc,201920.57,9
Jan 2017,101,Derek Davis 2 inc,386509.88,17
Jan 2017,101,Walter Villarreal 2 inc,224570.86,11
Jan 2017,101,Lance Sanos inc,204991.7,8
Jan 2017,101,Angela Puskar inc,197505.44,9
Jan 2017,101,Carol Tate inc,194216.89,12
Jan 2017,102,Barry Hart inc,553776.48,30
Jan 2017,102,Troy Centeno inc,285924.44,12
Jan 2017,102,Wendell Morey inc,217220.79,9
Jan 2017,102,Venus Kennedy inc,205184.94,9
Jan 2017,102,Mary Derby inc,188719.1,10
Jan 2017,103,Sam Werner inc,152790.66,8
Jan 2017,103,Steven Flores 3 inc,152112.77,8
Jan 2017,103,William Murray 5 inc,139075.72,6
Jan 2017,103,Kevin Odom inc,130972.42,6
Jan 2017,103,Austin Talty inc,100902.57,5
Jan 2017,104,Lillian Riffel inc,286611.89,12
Jan 2017,104,James Thomas 20 inc,266873.82,13
Jan 2017,104,Stanley Larue inc,180532.89,8
Jan 2017,104,Joseph Jacobs inc,154906.13,9
Jan 2017,104,Laura Johnson 8 inc,105252.55,6
Jan 2017,105,Eusebio Steese inc,349760.25,20
Jan 2017,105,Jan Lenton inc,234716.18,11
Jan 2017,105,Wendy Schwartzkopf inc,185901.09,9
Jan 2017,105,Steve Haward inc,175481.34,9
Jan 2017,105,Shawna Ward inc,173808.73,8
Jan 2017,106,Antonia Greenberg inc,170179.53,10
Jan 2017,106,Bryan Porterfield inc,138936.43,7
Jan 2017,106,Debbie Mitchell inc,133209.86,8
Jan 2017,106,Tamara Vasquez inc,115972.08,7
Jan 2017,106,Elizabeth Fisher 3 inc,95546.82,4
Jan 2017,107,Julius Kutz inc,1685143.01,92
Jan 2017,107,Tim Crosby inc,1380871.79,63
Jan 2017,107,Michael Truelove inc,1224612.69,59
Jan 2017,107,Denise Gomez inc,532139.5,28
Jan 2017,107,Mary Duke 3 inc,456554.15,21
Jan 2017,108,Suzanne Hammond inc,214960.42,9
Jan 2017,108,Jeannie Tambe inc,114932.13,6
Jan 2017,108,Jeffery Nelson 2 inc,99432.14,4
Jan 2017,108,Opal Love inc,94554.78,4
Jan 2017,108,Luis Smith 3 inc,87191.5,4
Jan 2017,109,Lucille Knights inc,742569.21,42
Jan 2017,109,Jose Ortega inc,617162.88,30
Jan 2017,109,Maria Jobson inc,360065.24,18
Jan 2017,109,Nina Washington inc,232975.82,11
Jan 2017,109,Dorothy Park inc,226441.01,14
Jan 2017,110,Donna Gonzalez 4 inc,2409957.72,121
Jan 2017,110,Mae Brown inc,894719.22,40
Jan 2017,110,Wanda Hill inc,599824.09,27
Jan 2017,110,Connie Thompson 2 inc,560951.75,27
Jan 2017,110,Alvin Lucero inc,517216.78,21
Jan 2017,111,David Kilpatrick inc,364674.44,18
Jan 2017,111,Beatrice Doire inc,246048.19,11
Jan 2017,111,Bertha Walton inc,236895.49,13
Jan 2017,111,Robert Flores 6 inc,209558.97,10
Jan 2017,111,Maureen Pereira inc,191813.28,10
Jan 2017,112,Douglas Richner inc,215911.63,12
Jan 2017,112,Linda Black inc,174615.81,9
Jan 2017,112,Tracy Mathews inc,151579.75,8
Jan 2017,112,Billy Lorino inc,100408.64,5
Jan 2017,112,Michael Brotherton inc,80084.99,3
Jan 2017,113,Rosalie Frizell inc,241945.15,12
Jan 2017,113,Edward Howell inc,135957.86,7
Jan 2017,113,Roger Jones 5 inc,120517.49,5
Jan 2017,113,Erika Slowe inc,93731.67,4
Jan 2017,113,Arlene Lehmberg inc,91209.88,4
Jan 2017,114,Joann Vidinha inc,221353.57,9
Jan 2017,114,Leonard Crawford inc,204653.49,9
Jan 2017,114,Estella Bewick inc,168941.47,8
Jan 2017,114,Leslie Pipkin inc,148402.07,7
Jan 2017,114,Aaron Torgersen inc,122172.8,7
Jan 2017,115,Alicia King 2 inc,253850.1,12
Jan 2017,115,John Campbell 11 inc,224141.16,10
Jan 2017,115,Virginia Grissom inc,197092.44,10
Jan 2017,115,Holly Roper inc,151101.38,6
Jan 2017,115,Jose Griffith 2 inc,145794.02,7
Jan 2017,116,Mildred Leitheiser inc,998906.21,51
Jan 2017,116,Shannon Puckett inc,673472.46,36
Jan 2017,116,Harriet Fields inc,658837.97,34
Jan 2017,116,Matthew Barnett 3 inc,605347.71,33
Jan 2017,116,Novella Yates inc,529776.33,25
Jan 2017,117,Michael Farruggio inc,1355453.17,64
Jan 2017,117,Theresa Martin 3 inc,1115425.23,56
Jan 2017,117,Dion Cantu inc,1007850.42,48
Jan 2017,117,Catherine Tanner inc,978083.48,49
Jan 2017,117,Janet Hackney inc,952827.29,47
Jan 2017,118,Richard Burrows inc,102887.92,5
Jan 2017,118,Brenda Bonney inc,91071.3,3
